"","abortion","age","aid.blacks","aid.blacksCD","aid.blacksCR","aid.blacksD","aid.blacksR","anger.dem","anger.rep","auth.1","auth.2","auth.3","auth.4","bible","black","catholic","church","college","defense.spendingCD","defense.spendingCR","defense.spendingD","defense.spendingR","dem.afraid","dem.angry","dem.cares","dem.decent","dem.hope","dem.know","dem.leader","efficacy1","efficacy2","efficacy3","efficacy4","efficacy5","efficacy6","efficacy7","egal1","egal2","egal3","egal4","fear.dem","fear.rep","feel.asian","feel.black","feel.latino","feeling.dem","feeling.demc","feeling.rep","feeling.repc","female","feminists.therm","fundamental.therm","gay.therm","gays.adoption","gays.military","gov.services","gov.servicesCD","gov.servicesCR","gov.servicesD","gov.servicesR","hispanic","hope.dem","hope.rep","ideology","ideologyCD","ideologyCR","ideologyD","ideologyR","immigrants","income","interest.elections","interest.politics","jewish","jobs","jobsCD","jobsCR","jobsD","jobsR","know.interview.post","know.interview.pre","media","mode","moral1","moral2","moral3","moral4","nonwhite","other","other.race","p1","p2","p3","p4","p5","pid","primary","protect.gays","proud.dem","proud.rep","public.insurance","public.insuranceCD","public.insuranceCR","rep.afraid","rep.angry","rep.cares","rep.decent","rep.hope","rep.know","rep.leader","rid","rr1","rr2","rr3","rr4","split.house","split.senate","union.therm","vote","vote.house","vote.senate","voted","weights.all","weights.ftf","weights.web","white","women.role","women.roleCD","women.roleCR","year","rid2","group","racial.resentment","authoritarianism","efficacy","knowledge","dem_traits","rep_traits","dem_anxiety","rep_anxiety","participation"
"3",3,0.4,NA,4,5,4,6,0,1,2,2,2,1,2,0,0,0,0,4,3,6,2,2,1,4,NA,1,3,3,3,3,2,NA,3,3,1,1,4,2,3,1,0,70,75,65,59,65,75,60,0,65,85,30,1,1,5,4,5,3,5,0,0,1,NA,NA,NA,2,6,NA,1,2,1,0,6,3,5,1,6,4,4,1,"FTF",5,5,5,5,0,0,0,0,0,0,0,1,0.666666666666667,NA,NA,1,1,5,NA,NA,1,2,4,NA,2,3,3,1,4,3,3,NA,"RP-RC","RP-RS",65,1,1,1,1,1.2886,1.2886,1.2886,1,1,NA,NA,2000,3,1,0.583333333333333,0.75,2.5,0.75,0.222222222222222,0.222222222222222,0.5,0.5,1
"4",3,0.4125,7,4,5,3,6,0,0,1,2,1,1,2,0,0,0,1,NA,6,2,5,1,1,3,NA,2,3,1,3,3,1,2,4,3,NA,4,2,1,3,0,0,50,50,50,NA,85,NA,70,0,40,40,50,0,0,5,NA,4,7,3,0,1,1,0.5,5,7,2,6,3,0,2,1,0,7,7,7,4,4,3,4,1,"FTF",2,5,2,3,0,1,0,0,0,0,0,0,0.5,NA,0,0,1,7,NA,NA,1,1,3,NA,2,3,3,1,5,5,2,NA,NA,"DP-DS",85,0,NA,0,1,0.4285,0.4285,0.4285,1,1,1,1,2004,4,1,0.75,0.25,2.8,0.625,0.555555555555556,0.333333333333333,0,0,0
"8",1,0.2,4,NA,NA,NA,NA,1,1,1,2,1,1,2,0,0,0,0,5,6,5,6,2,2,2,NA,2,3,2,2,1,1,1,2,1,1,1,2,3,2,1,0,70,70,70,70,70,60,60,1,70,60,50,1,0,1,4,3,4,4,0,1,1,0.333333333333333,3,4,3,6,4,0,2,1,0,4,4,3,4,4,NA,4,1,"FTF",4,5,4,5,0,0,0,0,0,0,0,1,0.166666666666667,0,NA,0,1,1,NA,NA,1,2,2,NA,2,3,2,10,4,2,4,NA,NA,NA,50,NA,NA,NA,1,1,1,1,1,1,NA,NA,1992,8,1,0.583333333333333,0.25,1.33333333333333,0.75,0.555555555555556,0.555555555555556,1,0.5,1
"10",1,0.375,7,1,7,1,7,1,0,1,2,1,1,2,0,0,0,1,1,7,1,6,2,2,1,NA,1,2,1,3,3,1,2,3,3,NA,5,5,4,5,1,0,60,60,60,15,0,97,97,1,40,60,40,1,1,7,1,6,1,7,0,0,1,0.833333333333333,1,6,1,6,4,1,2,1,0,7,1,7,1,6,5,5,1,"FTF",5,5,4,5,0,0,0,0,0,1,1,1,1,NA,1,0,1,5,NA,NA,1,1,4,NA,2,4,4,10,5,5,5,NA,"RP-RC","RP-RS",40,1,1,1,1,1.1942,1.1942,1.1942,1,1,1,1,2004,10,1,1,0.25,2.6,1,0.888888888888889,0,1,0,3
"12",2,0.4,6,3,6,NA,NA,0,0,1,1,1,1,1,0,1,1,1,3,4,3,5,1,1,NA,NA,2,NA,NA,3,NA,2,2,NA,NA,NA,2,2,2,2,0,0,50,50,50,50,40,60,60,0,50,50,50,0,NA,5,3,4,3,5,0,1,0,0.833333333333333,3,5,3,5,3,0,2,1,0,5,2,5,2,5,4,4,1,"FTF",4,4,2,4,0,0,0,0,0,0,0,0,0.833333333333333,1,NA,1,0,4,3,4,1,1,NA,NA,1,NA,NA,10,4,4,2,4,"RP-RC","RP-RS",40,1,1,1,1,2.5067,2.5067,0,1,NA,NA,NA,2012,12,1,0.625,0,2.5,0.75,NA,NA,0,0,0
"18",2,0.6625,6,4,6,NA,NA,0,0,1,2,2,1,2,0,1,0,0,2,6,4,2,1,1,NA,NA,2,NA,NA,2,2,1,1,2,3,3,1,4,1,1,0,0,70,70,60,50,85,50,30,1,50,NA,60,1,0,NA,2,7,2,5,0,1,0,0.5,2,7,3,7,2,0,2,1,0,5,2,7,4,5,3,4,1,"FTF",4,5,1,5,0,0,0,0,0,0,0,1,0.5,1,NA,1,0,2,1,7,1,1,NA,NA,1,NA,NA,100,4,2,4,3,"DP-RC","DP-DS",40,0,1,0,1,0.9436,0.9436,0,1,NA,NA,NA,2012,18,1,0.5625,0.5,2.16666666666667,0.625,NA,NA,0,0,1
"21",3,0.4875,6,1,4,2,5,1,0,2,2,1,1,3,0,0,1,0,3,6,5,1,2,2,2,NA,1,2,2,1,1,1,1,2,1,1,2,4,3,4,1,0,60,60,60,30,15,60,70,1,50,60,50,1,0,4,2,6,1,4,0,0,1,0.666666666666667,1,5,2,5,NA,1,2,1,0,6,2,6,1,5,3,5,1,"FTF",5,5,4,5,0,0,0,0,0,0,0,1,1,NA,1,0,1,5,NA,NA,1,1,3,NA,2,2,3,1000,4,4,4,NA,"RP-RC",NA,40,1,1,NA,1,0.3907,0.3907,0.3907,1,1,4,5,2000,21,1,0.75,0.5,1.16666666666667,0.75,0.666666666666667,0.444444444444445,1,0,1
"26",2,0.1375,4,NA,NA,NA,NA,1,1,1,2,1,1,2,0,0,0,1,2,4,2,5,1,2,3,NA,2,4,3,2,2,1,1,2,3,3,1,2,2,2,0,1,50,50,50,40,50,30,15,0,70,50,50,0,0,5,2,6,2,6,0,1,1,0.5,3,6,3,6,4,1,2,1,0,4,1,6,2,6,3,5,1,"FTF",2,2,3,2,0,0,0,0,0,0,0,1,0.333333333333333,0,0,1,1,4,NA,NA,2,2,2,NA,2,3,3,1001,2,2,3,NA,NA,NA,40,NA,1,0,1,1,1,1,1,1,NA,NA,1992,26,1,0.333333333333333,0.25,2.16666666666667,0.75,0.222222222222222,0.444444444444445,0.5,1,1
"28",3,0.7875,7,NA,NA,NA,NA,0,0,1,1,1,1,3,0,0,1,0,NA,NA,NA,NA,1,1,NA,NA,1,3,3,1,1,1,1,3,1,1,1,4,4,4,0,0,70,50,60,NA,85,NA,70,1,70,50,0,1,1,4,NA,5,3,5,0,0,0,NA,NA,NA,2,3,NA,NA,2,1,0,1,NA,NA,NA,NA,4,2,1,"FTF",4,5,3,5,0,0,0,0,0,0,0,0,0.833333333333333,NA,NA,1,0,5,NA,NA,1,1,1,NA,1,3,3,1001,4,2,5,NA,NA,NA,50,NA,NA,NA,0,1.2296,1.2296,1.2296,1,7,NA,NA,2000,28,1,0.666666666666667,0,1.33333333333333,0.5,0.333333333333333,0.555555555555556,0,0,0
"29",2,0.775,6,NA,6,NA,4,1,0,2,2,2,2,3,0,0,0,0,NA,7,NA,7,1,2,NA,NA,1,2,2,2,2,1,2,3,3,NA,2,2,3,3,0,0,NA,60,30,40,15,85,85,0,70,50,0,1,1,6,NA,6,NA,5,0,0,1,0.5,3,6,3,6,5,0,2,1,0,1,NA,1,NA,1,3,3,1,"FTF",2,4,2,4,0,0,0,0,0,0,0,0,0.833333333333333,NA,NA,0,1,1,NA,NA,1,1,3,NA,2,4,3,1001,5,4,4,NA,"RP-RC","RP-RS",40,1,1,1,1,2.7738,2.7738,2.7738,1,2,NA,2,2004,29,1,0.833333333333333,1,2.2,0.5,0.666666666666667,0.222222222222222,0.5,0,0
